"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Hawaii ISL visitors","Accom: Timeshare only (%)","percent","","4.5","5.6","5.6","5.4","5.8","5.7","6.4","6.2","7.2","7.7","7.4","7.6","7.2","7.4","7.0","7.2","7.2","6.8","6.9","7.0","6.3","8.9"
"Visitor from US","Purpose: MCI-net (%)","percent","","","","","","","","","","","","","","","","","","","","4.6","4.3","4.7","1.4"
"Hawaii ISL visitors","Purpose: MCI-net (%)","percent","8.7","10.4","7.9","7.9","8.2","7.4","8.9","7.7","7.0","7.7","6.5","5.9","6.1","5.4","5.7","6.5","6.0","6.2","5.2","4.6","4.4","4.9","1.9"
"Visitor from US","Accom: Rental house (%)","percent","","","","","","","","","","","","","","","","","","","","11.8","12.1","12.2","12.0"
"Hawaii ISL visitors","Accom: Rental house (%)","percent","","","","","3.4","3.8","4.1","4.3","5.2","6.3","6.4","6.9","7.9","8.6","9.5","10.7","11.8","12.5","13.1","15.2","15.7","18.3","21.7"
"Visitor from US","Purpose: Conventions (%)","percent","","","","","","","","","","","","","","","","","","","","2.9","2.5","3.0","0.6"
"Hawaii ISL visitors","Purpose: Conventions (%)","percent","5.6","7.0","5.0","4.8","5.2","4.7","5.2","4.8","4.4","4.8","4.3","3.7","3.5","3.6","3.4","3.9","3.5","3.6","3.3","2.6","2.6","2.8","0.9"
"Visitor from US","Purpose: Corporate meetings (%)","percent","","","","","","","","","","","","","","","","","","","","1.1","1.1","1.0","0.4"
"Hawaii ISL visitors","Purpose: Corporate meetings (%)","percent","1.6","1.9","1.6","1.4","1.3","1.3","1.7","1.4","1.4","1.5","1.1","1.0","1.2","0.9","0.9","1.2","1.0","1.1","0.9","0.8","0.8","1.1","0.5"
"Visitor from US","Accom: Cruise ship (%)","percent","","","","","","","","","","","","","","","","","","","","1.6","1.6","1.0","0.0"
"Hawaii ISL visitors","Accom: Cruise ship (%)","percent","5.1","4.5","7.6","9.6","8.5","8.5","11.6","15.8","18.8","9.6","8.2","7.9","7.6","6.9","6.7","7.1","7.1","6.1","6.3","6.0","6.2","3.9","0.0"
"Visitor from US","Purpose: Incentive (%)","percent","","","","","","","","","","","","","","","","","","","","0.8","0.9","0.8","0.4"
"Hawaii ISL visitors","Purpose: Incentive (%)","percent","1.6","1.6","1.6","1.8","2.1","1.7","2.4","1.8","1.6","1.6","1.3","1.5","1.6","1.1","1.6","1.7","1.7","1.6","1.2","1.3","1.2","1.2","0.6"
"Visitor from US","Accom: Friends/Relatives (%)","percent","","","","","","","","","","","","","","","","","","","","11.9","11.7","16.7","11.9"
"Hawaii ISL visitors","Accom: Friends/Relatives (%)","percent","9.2","8.9","9.3","9.8","10.9","10.5","9.7","10.4","10.3","10.7","11.7","10.8","10.2","10.0","9.7","9.8","10.3","10.0","9.9","10.2","10.4","15.5","13.5"
"Visitor from US","Purpose: Other business (%)","percent","","","","","","","","","","","","","","","","","","","","3.6","3.5","4.6","2.1"
"Hawaii ISL visitors","Purpose: Other business (%)","percent","3.1","3.0","3.0","3.6","3.8","4.1","3.9","3.7","3.5","3.7","3.4","3.4","3.3","3.1","2.9","3.4","3.2","3.0","2.7","2.8","2.6","3.9","2.4"
"Visitor from US","Accom: B&B (%)","percent","","","","","","","","","","","","","","","","","","","","1.2","1.2","1.3","1.0"
"Hawaii ISL visitors","Accom: B&B (%)","percent","3.2","2.6","2.4","2.5","2.8","2.7","2.6","2.4","2.5","2.9","2.7","2.9","3.0","2.8","3.2","3.1","3.1","2.9","3.0","3.1","2.7","3.0","2.4"
"Visitor from US","Purpose: Visit Friends/Relative (%)","percent","","","","","","","","","","","","","","","","","","","","10.7","10.5","15.3","12.3"
"Hawaii ISL visitors","Purpose: Visit Friends/Relative (%)","percent","6.2","6.4","6.6","7.7","9.2","9.2","8.4","8.7","9.0","9.4","10.0","9.1","8.8","8.6","8.5","8.5","8.9","8.6","8.2","8.5","8.5","12.7","12.7"
"Visitor from US","Accom: Hostel (%)","percent","","","","","","","","","","","","","","","","","","","","0.7","0.6","0.7","0.5"
"Hawaii ISL visitors","Accom: Hostel (%)","percent","","","","","","","","","","","","","","","","1.1","1.2","1.1","1.4","1.2","1.2","1.0","0.7"
"Visitor from US","Purpose: Govt/Military (%)","percent","","","","","","","","","","","","","","","","","","","","1.4","1.3","1.7","0.8"
"Hawaii ISL visitors","Purpose: Govt/Military (%)","percent","0.7","0.5","0.6","0.7","0.7","0.5","0.7","0.5","0.5","0.6","0.5","0.8","0.5","0.4","0.3","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.3"
"Visitor from US","Accom: Camp site/Beach (%)","percent","","","","","","","","","","","","","","","","","","","","0.6","0.6","0.7","0.5"
"Hawaii ISL visitors","Accom: Camp site/Beach (%)","percent","","","","","","","","","","","","","","","","1.1","1.1","1.0","1.1","0.9","1.0","1.0","0.7"
"Visitor from US","Purpose: Attend school (%)","percent","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.3","0.2"
"Hawaii ISL visitors","Purpose: Attend school (%)","percent","0.5","0.4","0.5","0.5","0.4","0.4","0.3","0.3","0.3","0.4","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.4","0.3","0.3","0.4","0.3"
"Visitor from US","Accom: Private room in private home (%)","percent","","","","","","","","","","","","","","","","","","","","1.4","1.4","1.6","0.9"
"Hawaii ISL visitors","Accom: Private room in private home (%)","percent","","","","","","","","","","","","","","","","","","1.4","2.5","2.8","2.7","2.8","1.8"
"Visitor from US","Purpose: Sport events (%)","percent","","","","","","","","","","","","","","","","","","","","0.9","0.9","0.6","0.3"
"Hawaii ISL visitors","Purpose: Sport events (%)","percent","","","","","1.8","1.7","1.8","1.5","1.5","1.7","1.6","1.5","1.6","1.5","1.4","1.5","1.4","1.4","1.1","1.2","1.3","0.5","0.4"
"Visitor from US","Accom: Shared room in private home (%)","percent","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5","0.2"
"Hawaii ISL visitors","Accom: Shared room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.4","0.7","0.8","0.8","1.0","0.5"
"Visitor from US","Purpose: Other purpose(%)","percent","","","","","","","","","","","","","","","","","","","","3.5","3.4","3.5","2.0"
"Hawaii ISL visitors","Purpose: Other purpose(%)","percent","","","","","","","","","","","","","","","","","3.3","3.5","3.2","3.3","3.0","3.4","2.0"
"Maui visitors","Avg. age of party head","number","","","","","","","","","","","","","","","46.9","47.0","46.9","46.7","46.8","46.8","46.5","47.4",""
"Maui visitors","First timer (%)","percent","41.4","41.3","38.7","37.2","36.5","36.4","35.9","35.6","35.3","33.8","32.4","32.4","32.6","32.8","32.8","33.2","32.0","32.4","32.5","31.5","30.7","25.5","26.7"
"Maui visitors","Repeaters (%)","percent","58.6","58.7","61.3","62.8","63.5","63.6","64.1","64.4","64.7","66.2","67.6","67.6","67.4","67.2","67.2","66.8","68.0","67.6","67.5","68.5","69.3","74.5","73.3"
"Maui visitors","Purpose: Pleasure-net (%)","percent","84.4","84.6","85.0","87.1","87.3","88.2","87.9","87.8","88.3","87.8","89.2","89.3","89.6","89.8","90.0","90.1","89.6","89.9","90.3","90.6","90.7","87.8","92.5"
"Maui visitors","Accom: Hotel only (%)","percent","56.3","56.7","53.8","51.2","49.7","49.3","45.9","41.8","38.8","41.1","41.2","42.3","42.7","43.4","43.0","43.3","42.6","43.4","43.5","41.8","41.9","36.4","37.6"
"Maui visitors","Purpose: Vacation (%)","percent","","","","","","79.8","80.3","80.7","81.7","81.3","82.3","82.5","82.7","83.0","83.5","83.6","83.7","84.1","84.8","85.5","86.2","84.8","87.9"
"Maui visitors","Accom: Condo (%)","percent","29.1","27.2","26.4","26.5","29.2","28.5","28.5","27.6","28.1","29.2","28.6","29.6","30.4","30.0","30.6","29.6","29.3","28.7","27.3","27.7","27.2","30.0","32.2"
"Maui visitors","Purpose: Honeymoon/Get married (%)","percent","","","8.8","10.3","9.8","9.4","","","","","","","","","","","6.8","6.7","6.3","5.8","5.1","3.6","5.4"
"Maui visitors","Accom: Condo only (%)","percent","23.9","22.2","21.9","20.6","22.1","21.6","21.7","21.2","21.4","22.2","22.3","23.4","23.9","23.5","23.7","22.9","22.8","22.2","21.1","21.2","21.4","23.8","26.8"
"Maui visitors","Purpose: Honeymoon (%)","percent","10.1","10.2","","","","8.2","7.7","7.1","6.7","6.5","7.0","6.9","7.0","7.0","6.6","6.7","6.0","5.9","5.6","5.1","4.5","3.0","4.8"
"Maui visitors","Accom: Timeshare (%)","percent","","4.1","5.8","7.3","7.6","8.5","9.1","10.2","10.8","13.4","14.5","13.4","12.6","12.2","11.7","11.7","11.8","11.2","11.0","10.7","10.0","10.7","12.0"
"Maui visitors","Purpose: Get married (%)","percent","","","","","","","1.9","1.6","1.6","1.5","1.5","1.3","1.3","1.3","1.2","1.3","1.2","1.1","1.0","1.0","0.9","0.8","0.8"
"Maui visitors","Accom: Timeshare only (%)","percent","","2.9","4.3","5.1","5.1","5.8","6.3","7.3","7.8","9.8","10.8","10.0","9.4","8.9","8.7","8.7","8.8","8.4","8.1","7.9","7.5","8.2","9.7"
"Maui visitors","Purpose: MCI-net (%)","percent","8.4","8.9","7.5","6.5","7.7","7.1","7.2","7.1","6.1","6.4","5.6","5.3","5.6","5.4","5.2","5.4","5.8","5.1","4.8","4.7","4.3","5.4","1.9"
"Maui visitors","Accom: Rental house (%)","percent","","","","","2.2","2.4","2.7","3.0","3.4","3.5","3.5","3.6","4.1","4.6","5.2","6.0","6.4","6.8","7.2","8.7","9.3","10.0","11.1"
"Maui visitors","Purpose: Conventions (%)","percent","5.2","5.3","4.3","3.8","4.6","4.0","4.1","4.1","3.3","3.5","3.5","3.2","3.0","3.0","2.9","2.9","3.3","2.7","2.5","2.8","2.2","3.4","1.0"
"Maui visitors","Purpose: Corporate meetings (%)","percent","1.6","1.9","1.7","1.3","1.4","1.4","1.4","1.3","1.4","1.4","1.0","1.0","1.2","1.1","1.1","1.3","1.2","1.1","1.0","0.9","1.0","1.0","0.5"
"Maui visitors","Accom: Cruise ship (%)","percent","3.1","2.6","4.8","6.0","5.0","5.3","8.1","11.1","13.0","6.4","5.5","5.1","4.8","4.4","4.3","4.5","4.5","3.8","4.2","3.8","3.8","2.5","0.0"
"Maui visitors","Purpose: Incentive (%)","percent","1.7","1.8","1.6","1.6","2.1","2.1","2.0","1.9","1.7","1.9","1.3","1.3","1.6","1.5","1.5","1.6","1.7","1.7","1.5","1.1","1.3","1.2","0.6"
"Maui visitors","Accom: Friends/Relatives (%)","percent","5.9","5.6","5.8","6.5","6.4","6.2","6.2","6.7","6.7","6.9","7.4","6.6","6.1","6.0","5.8","5.9","6.2","6.1","6.1","6.1","6.3","9.1","6.7"
"Maui visitors","Purpose: Other business (%)","percent","2.3","2.3","2.3","2.5","2.9","2.8","2.8","2.7","2.7","2.7","2.5","2.4","2.2","2.3","2.2","2.6","2.4","2.1","2.2","2.0","1.9","2.6","1.5"
"Maui visitors","Accom: B&B (%)","percent","1.6","1.4","1.4","1.3","1.3","1.2","1.2","1.2","1.3","1.3","1.2","1.1","1.2","1.2","1.4","1.4","1.6","1.4","1.5","1.4","1.4","1.4","1.1"
"Maui visitors","Purpose: Visit Friends/Relative (%)","percent","4.1","4.3","4.2","5.2","5.9","5.7","5.8","6.1","6.3","6.4","6.5","5.9","5.6","5.5","5.5","5.5","5.5","5.2","5.2","5.2","5.3","7.7","6.5"
"Maui visitors","Accom: Hostel (%)","percent","","","","","","","","","","","","","","","","0.9","0.9","0.9","1.0","1.1","1.2","1.0","0.6"
"Maui visitors","Purpose: Govt/Military (%)","percent","0.6","0.3","0.4","0.5","0.4","0.4","0.5","0.3","0.3","0.4","0.3","0.4","0.3","0.2","0.2","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.1"
"Maui visitors","Accom: Camp site/Beach (%)","percent","","","","","","","","","","","","","","","","0.7","0.7","0.7","0.7","0.8","1.0","1.2","0.6"
"Maui visitors","Purpose: Attend school (%)","percent","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.2","0.2","0.2","0.1","0.1","0.1","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1"
"Maui visitors","Accom: Private room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.7","1.3","1.5","1.4","1.2","0.7"
"Maui visitors","Purpose: Sport events (%)","percent","","","","","1.1","1.2","1.3","1.1","0.9","0.9","0.8","0.8","0.7","0.6","0.7","0.8","0.7","0.6","0.5","0.6","0.6","0.2","0.1"
"Maui visitors","Accom: Shared room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.2","0.4","0.4","0.4","0.4","0.2"
"Maui visitors","Purpose: Other purpose(%)","percent","","","","","","","","","","","","","","","","","2.8","2.9","2.9","2.8","2.6","2.4","1.5"
"Molokai visitors","Avg. age of party head","number","","","","","","","","","","","","","","","49.7","50.1","49.5","50.6","49.9","49.2","50.2","50.6",""
"Molokai visitors","First timer (%)","percent","41.5","39.4","41.0","37.5","38.2","35.6","40.1","33.1","38.4","38.9","35.8","37.2","34.1","37.3","37.3","36.7","35.3","34.1","38.0","37.6","34.4","34.4","31.5"
"Molokai visitors","Repeaters (%)","percent","58.5","60.6","59.0","62.5","61.8","64.4","59.9","66.9","61.6","61.1","64.2","62.8","65.9","62.7","62.7","63.3","64.7","65.9","62.0","62.4","65.6","65.6","68.5"
"Molokai visitors","Purpose: Pleasure-net (%)","percent","80.2","79.3","84.1","81.8","81.1","82.5","81.2","80.5","82.9","80.1","82.1","82.9","81.8","81.8","84.6","82.7","81.5","83.7","83.4","84.6","83.1","81.4","80.6"
"Molokai visitors","Accom: Hotel only (%)","percent","38.0","39.1","36.5","49.2","44.3","38.5","35.1","32.0","28.3","32.7","27.5","31.7","30.5","33.1","31.6","32.1","34.3","30.7","32.9","28.6","29.9","31.7","27.7"
"Molokai visitors","Purpose: Vacation (%)","percent","","","","","","75.8","73.7","75.6","77.5","75.4","76.5","78.1","77.9","77.4","79.7","77.9","76.8","79.5","80.1","80.6","79.6","79.7","76.7"
"Molokai visitors","Accom: Condo (%)","percent","21.9","20.1","23.1","23.0","23.2","26.0","22.8","21.7","24.5","26.1","26.9","25.0","24.8","23.6","26.2","24.4","24.0","24.5","23.7","25.1","22.9","25.3","30.6"
"Molokai visitors","Purpose: Honeymoon/Get married (%)","percent","","","8.4","9.5","8.6","8.0","","","","","","","","","","","6.1","5.5","4.0","4.8","4.4","2.1","5.1"
"Molokai visitors","Accom: Condo only (%)","percent","16.1","14.8","17.7","14.6","15.0","16.3","13.9","13.6","15.1","15.4","16.6","15.4","15.2","14.3","16.2","14.0","14.7","14.5","13.8","14.9","13.9","16.8","20.9"
"Molokai visitors","Purpose: Honeymoon (%)","percent","6.0","6.3","","","","6.3","7.6","5.1","5.5","5.5","5.6","5.4","4.3","4.6","5.1","5.5","5.2","4.8","3.4","4.0","3.5","1.6","4.4"
"Molokai visitors","Accom: Timeshare (%)","percent","","3.9","4.3","5.5","6.1","6.2","6.2","5.3","6.3","8.1","8.3","8.6","7.8","7.7","8.0","9.4","8.8","8.8","6.2","6.5","6.2","5.4","7.7"
"Molokai visitors","Purpose: Get married (%)","percent","","","","","","","2.6","1.5","1.5","1.5","1.9","1.2","1.0","1.3","1.5","1.4","1.3","1.2","0.9","1.1","1.1","0.7","1.1"
"Molokai visitors","Accom: Timeshare only (%)","percent","","2.3","2.4","3.4","3.6","3.3","3.4","3.0","3.4","4.4","4.9","5.2","4.8","4.5","4.6","4.9","4.8","5.2","3.6","3.3","3.7","2.5","4.9"
"Molokai visitors","Purpose: MCI-net (%)","percent","5.5","6.3","5.0","5.5","6.6","5.3","7.9","7.6","4.9","6.3","4.7","5.3","5.3","5.6","4.2","4.5","7.0","3.8","4.5","2.8","4.0","2.9","1.8"
"Molokai visitors","Accom: Rental house (%)","percent","","","","","4.7","6.6","7.8","6.1","9.0","8.0","8.6","9.6","10.3","11.1","11.1","11.8","12.3","14.0","11.8","14.6","14.9","13.0","13.9"
"Molokai visitors","Purpose: Conventions (%)","percent","3.5","4.1","3.2","3.5","4.0","3.3","3.3","5.1","3.3","3.2","3.2","3.9","3.2","3.7","2.5","2.6","4.6","1.9","2.8","1.8","2.3","1.6","0.8"
"Molokai visitors","Purpose: Corporate meetings (%)","percent","1.2","1.3","1.7","1.0","1.3","1.0","3.4","0.9","0.9","0.9","0.9","0.7","1.0","0.9","1.2","0.9","1.0","0.8","0.7","0.6","0.9","0.9","0.7"
