"Indicator","Market","Destination","Units","2019"
"Visitor days","Illinois","Oahu","days","511,794"
"Visitor days","Illinois","Kauai","days","204,298"
"Visitor days","Illinois","Maui Island","days","564,757"
"Visitor days","Illinois","Molokai","days","4,938"
"Visitor days","Illinois","Lanai","days","6,690"
"Visitor days","Illinois","Hilo","days","43,485"
"Visitor days","Illinois","Kona","days","184,225"
"Visitor days","Indiana","Oahu","days","184,810"
"Visitor days","Indiana","Kauai","days","72,318"
"Visitor days","Indiana","Maui Island","days","168,546"
"Visitor days","Indiana","Molokai","days","2,403"
"Visitor days","Indiana","Lanai","days","1,548"
"Visitor days","Indiana","Hilo","days","15,742"
"Visitor days","Indiana","Kona","days","58,055"
"Visitor days","Iowa","Oahu","days","106,239"
"Visitor days","Iowa","Kauai","days","48,620"
"Visitor days","Iowa","Maui Island","days","102,198"
"Visitor days","Iowa","Molokai","days","945"
"Visitor days","Iowa","Lanai","days","934"
"Visitor days","Iowa","Hilo","days","9,231"
"Visitor days","Iowa","Kona","days","43,445"
"Visitor days","Kansas","Oahu","days","111,996"
"Visitor days","Kansas","Kauai","days","42,269"
"Visitor days","Kansas","Maui Island","days","105,014"
"Visitor days","Kansas","Molokai","days","826"
"Visitor days","Kansas","Lanai","days","1,171"
"Visitor days","Kansas","Hilo","days","9,609"
"Visitor days","Kansas","Kona","days","36,294"
"Visitor days","Kentucky","Oahu","days","102,492"
"Visitor days","Kentucky","Kauai","days","27,673"
"Visitor days","Kentucky","Maui Island","days","72,149"
"Visitor days","Kentucky","Molokai","days","678"
"Visitor days","Kentucky","Lanai","days","791"
"Visitor days","Kentucky","Hilo","days","8,174"
"Visitor days","Kentucky","Kona","days","28,447"
"Visitor days","Louisiana","Oahu","days","93,102"
"Visitor days","Louisiana","Kauai","days","23,819"
"Visitor days","Louisiana","Maui Island","days","54,190"
"Visitor days","Louisiana","Molokai","days","647"
"Visitor days","Louisiana","Lanai","days","776"
"Visitor days","Louisiana","Hilo","days","7,379"
"Visitor days","Louisiana","Kona","days","24,801"
"Visitor days","Maine","Oahu","days","48,552"
"Visitor days","Maine","Kauai","days","15,341"
"Visitor days","Maine","Maui Island","days","27,897"
"Visitor days","Maine","Molokai","days","613"
"Visitor days","Maine","Lanai","days","378"
"Visitor days","Maine","Hilo","days","5,509"
"Visitor days","Maine","Kona","days","14,126"
"Visitor days","Maryland","Oahu","days","312,904"
"Visitor days","Maryland","Kauai","days","66,119"
"Visitor days","Maryland","Maui Island","days","146,412"
